titulo,score,votes,gross
172.Um Conto Americano(1986),6.9,48170,4748
173.Bernardo e Bianca(1977),6.9,57241,7122
174.Um Espião Animal(2019),6.8,30834,0
175.Cegonhas(2016),6.8,55134,7268
176.Madagascar 3: Os Procurados(2012),6.8,160121,21639
177.Os Fantasmas de Scrooge(2009),6.8,99144,13786
178.As Aventuras de Peabody & Sherman(2014),6.8,61429,11151
179.Os Boxtrolls(2014),6.8,53752,5084
180.Horton e o Mundo dos Quem!(2008),6.8,127982,15453
181.A Era do Gelo 2(2006),6.8,252445,19533
182.Bolt: Supercão(2008),6.8,187033,11405
183.A Família do Futuro(2007),6.8,86047,9782
184.Irmão Urso(2003),6.8,95104,8534
185.Beavis e Butt-Head Detonam a América(1996),6.8,50869,6307
186.Pateta: O Filme(1995),6.8,45284,3535
187.Todos os Cães Merecem o Céu(1989),6.8,35672,2710
188.Carros 3(2017),6.7,72750,15290
189.O Touro Ferdinando(2017),6.7,46845,8441
190.Hotel Transilvânia 2(2015),6.7,104762,16970
191.O Bom Dinossauro(2015),6.7,99972,12309
192.Os Pinguins de Madagascar(2014),6.7,77799,8335
193.Piratas Pirados!(2012),6.7,44406,3105
194.Reino Escondido(2013),6.7,98820,10752
195.Tá Dando Onda(2007),6.7,67887,5887
196.Os Sem-Floresta(2006),6.7,157417,15502
197.Sinbad: A Lenda dos Sete Mares(2003),6.7,48519,2648
198.James e o Pêssego Gigante(1996),6.7,59385,2893
199.Pocahontas(I) (1995),6.7,167390,14160
200.Oliver e sua Turma(1988),6.7,43020,7415
201.Heavy Metal - Universo em Fantasia(1981),6.7,31126,0
202.PéPequeno(2018),6.6,32495,8324
203.Uma Aventura Lego 2(2019),6.6,52394,10581
204.Cada Um na Sua Casa(II) (2015),6.6,90737,17740
205.A Era do Gelo 4(2012),6.6,188644,16132
206.Madagascar 2: A Grande Escapada(2008),6.6,201478,18001
207.Gato de Botas(2011),6.6,142468,14926
208.Por Água Abaixo(2006),6.6,111218,6467
209.A Casa Monstro(2006),6.6,98667,7366
210.O Expresso Polar(2004),6.6,169073,18337
211.Titan A.E.(2000),6.6,58210,2275
212.Pets: A Vida Secreta dos Bichos 2(2019),6.5,47321,15887
213.Pets: A Vida Secreta dos Bichos(2016),6.5,180288,36838
214.Trolls(2016),6.5,70771,15371
215.Resident Evil: Degeneração(2008),6.5,28588,0
216.Dinossauro(2000),6.5,52344,13775
217.Formiguinhaz(1998),6.5,144953,9076
218.FernGully: As Aventuras de Zak e Crysta na Floresta Tropical(1992),6.5,26885,2465
219.Batman: A Piada Mortal(2016),6.4,48354,378
220.Minions(2015),6.4,208917,33605
221.Tá Chovendo Hambúrguer 2(2013),6.4,88768,11979
222.Turbo(2013),6.4,82320,8303
"223.O Lorax, em Busca da Trúfula Perdida(2012)",6.4,97120,21403
224.Monstros vs. Alienígenas(2009),6.4,144943,19835
225.Contos de Terramar(2006),6.4,34477,5
226.Deu a Louca na Chapeuzinho(2005),6.4,55706,5139
227.Happy Feet: O Pinguim(2006),6.4,167603,19800
228.Final Fantasy(2001),6.4,79624,3213
229.Space Jam: O Jogo do Século(1996),6.4,159924,9046
230.O Caldeirão Mágico(1985),6.4,30939,2129
231.Hotel Transilvânia 3: Férias Monstruosas(2018),6.3,55213,16751
232.O Poderoso Chefinho(2017),6.3,106009,17500
233.Meu Malvado Favorito 3(2017),6.3,110020,26462
234.O Grinch(2018),6.3,45761,27062
235.Rio 2(2014),6.3,78557,13154
236.Angry Birds: O Filme(2016),6.3,78884,10751
237.Shrek para Sempre(2010),6.3,181401,23837
238.A Menina e o Porquinho(2006),6.3,36594,8299
239.Astro Boy(2009),6.3,32722,1955
240.Robôs(2005),6.3,130868,12820
241.Pokémon: O Filme - Mewtwo Contra-Ataca(1998),6.3,39429,8574
242.Osmose Jones(2001),6.3,31988,1360
243.As Tartarugas Ninja: O Retorno(2007),6.2,60797,5415
244.A Lenda de Beowulf(2007),6.2,160096,8216
245.O Senhor dos Anéis(1978),6.2,29232,92
246.Festa da Salsicha(2016),6.1,173015,9769
247.Carros 2(2011),6.1,156524,19145
248.O Corajoso Ratinho Despereaux(2008),6.1,35495,5088
249.Shrek Terceiro(2007),6.1,275898,32071
250.O Bicho Vai Pegar(2006),6.1,85100,8511
251.Bee Movie: A História de uma Abelha(2007),6.1,139470,12663
252.Bob Esponja: Um Herói Fora d'Água(2015),6,47871,16299
253.Planeta 51(2009),6,50161,4209
254.Arthur e os Minimoys(2006),6,32620,1513
255.O Espanta Tubarões(2004),6,164742,16086
"256.Jimmy Neutron, o Menino Gênio(2001)",6,30308,8094
257.Happy Feet 2: O Pinguim(2011),5.9,41092,6401
258.Star Wars: A Guerra dos Clones(2008),5.9,56067,3516
259.Gnomeu e Julieta(2011),5.9,51761,9997
